networkType,batteryLevel,isCharging,updateSizeMb,usageFrequency,isCriticalUpdate,shouldUpdate
2,0.266,0,630.37,0.646,0,1
1,0.789,1,17.01,0.79,1,1
1,0.219,1,188.24,0.442,0,0
0,0.742,0,195.3,0.659,0,0
2,0.678,0,353.44,0.935,0,1
2,0.765,0,194.95,0.607,1,1
1,0.148,0,51.04,0.387,1,0
2,0.776,0,282.66,0.453,1,1
1,0.828,0,284.6,0.13,0,0
1,0.686,0,93.56,0.718,1,1
2,0.732,0,179.52,0.221,1,1
0,0.593,1,400.16,0.787,0,0
2,0.877,0,594.6,0.338,0,0
2,0.488,1,567.5,0.54,0,1
1,0.749,1,194.87,0.3,0,1
2,0.777,0,159.08,0.723,1,1
2,0.563,1,167.52,0.698,0,1
2,0.597,0,687.87,0.837,1,1
2,0.13,1,135.12,0.172,0,1
1,0.629,1,61.32,0.967,0,1
2,0.281,0,566.05,0.803,1,1
2,0.235,0,394.26,0.083,0,0
0,0.404,0,551.37,0.08,0,0
1,0.202,1,111.31,0.844,0,0
2,0.508,1,16.05,0.529,0,1
1,0.308,0,147.88,0.714,1,0
2,0.735,0,417.49,0.665,1,1
1,0.194,1,271.62,0.76,1,0
2,0.494,0,418.44,0.033,1,1
0,0.428,0,691.54,0.4,1,0
2,0.807,0,502.63,0.651,0,0
1,0.737,1,51.32,0.477,0,1
2,0.479,0,238.88,0.498,0,1
1,0.618,0,81.68,0.532,0,0
1,0.604,0,276.3,0.379,0,0
2,0.95,0,427.91,0.394,0,1
2,0.794,0,732.07,0.781,0,0
2,0.915,1,236.56,0.433,1,1
1,0.771,1,108.88,0.721,0,1
2,0.606,1,157.27,0.373,0,1
0,0.501,0,344.08,0.406,0,0
2,0.562,0,128.13,0.246,0,1
2,0.66,0,162.87,0.865,0,1
2,0.675,0,83.96,0.522,0,1
2,0.239,0,332.63,0.203,0,0
2,0.832,0,146.04,0.013,0,1
2,0.446,1,277.42,0.848,0,1
2,0.314,1,319.65,0.878,0,1
1,0.416,0,367.37,0.193,0,0
1,0.736,0,392.83,0.741,0,0
2,0.457,0,159.88,0.316,0,1
2,0.785,0,183.83,0.21,1,1
2,0.291,0,200.08,0.853,0,0
2,0.867,0,689.45,0.637,0,0
2,0.414,0,294.0,0.249,0,1
0,0.589,1,347.23,0.076,1,0
2,0.582,0,301.92,0.345,1,1
1,0.911,1,476.77,0.891,1,0
2,0.462,1,151.91,0.116,1,1
2,0.924,1,433.77,0.315,0,1
1,0.662,0,460.86,0.255,0,0
2,0.198,0,531.74,0.468,0,0
2,0.831,0,475.2,0.4,1,1
2,0.539,0,125.21,0.72,0,1
2,0.594,1,121.47,0.163,1,1
2,0.535,0,483.84,0.434,1,0
1,0.4,1,133.38,0.718,0,1
2,0.834,0,502.08,0.542,0,0
1,0.533,0,25.2,0.788,0,1
2,0.899,1,77.22,0.679,1,1
2,0.502,0,105.03,0.703,0,1
2,0.5,1,584.95,0.437,0,1
1,0.817,0,137.88,0.618,0,0
2,0.685,0,128.96,0.236,0,1
2,0.664,0,121.4,0.451,1,1
2,0.293,0,29.6,0.469,0,0
2,0.895,0,431.14,0.335,0,1
1,0.398,0,43.31,0.942,0,1
1,0.749,0,313.12,0.051,0,0
0,0.379,1,62.6,0.612,0,0
1,0.55,0,260.97,0.847,0,0
2,0.448,1,497.63,0.409,0,1
2,0.356,0,87.74,0.521,1,1
2,0.759,0,525.34,0.802,0,1
1,0.842,0,157.24,0.583,0,0
2,0.612,1,418.79,0.654,1,1
1,0.712,1,302.13,0.437,0,0
2,0.697,1,311.46,0.671,0,1
2,0.732,0,562.78,0.858,0,1
1,0.355,0,119.58,0.733,0,0
2,0.895,0,608.66,0.267,0,0
1,0.699,0,33.42,0.224,0,0
2,0.84,1,137.35,0.772,0,1
2,0.4,0,527.22,0.922,0,0
2,0.66,0,769.27,0.136,0,0
2,0.422,1,399.35,0.77,0,1
1,0.592,1,50.87,0.793,0,1
2,0.532,1,161.49,0.69,1,1
2,0.49,1,330.68,0.922,1,1
1,0.35,0,245.01,0.759,0,0
2,0.415,0,359.83,0.371,0,1
2,0.263,0,356.36,0.35,0,0
2,0.321,0,109.44,0.719,0,1
2,0.577,0,166.01,0.739,0,1
2,0.72,1,334.49,0.916,0,1
2,0.282,0,749.18,0.83,0,0
1,0.584,0,117.75,0.743,0,0
2,0.568,0,79.04,0.482,0,1
2,0.402,0,99.87,0.133,0,1
2,0.747,0,300.22,0.669,0,1
1,0.574,0,181.09,0.913,0,0
1,0.471,0,166.9,0.554,0,0
1,0.703,0,177.67,0.244,0,0
2,0.365,0,229.41,0.399,0,1
1,0.225,1,116.92,0.552,0,0
0,0.343,0,505.26,0.457,1,0
2,0.237,1,269.48,0.385,0,1
1,0.436,0,364.29,0.216,0,0
2,0.327,1,211.83,0.226,0,1
2,0.313,1,550.06,0.222,0,1
2,0.645,0,185.32,0.513,0,1
